,filename,label
0,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00002314.JPEG,golf ball
1,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00003793.JPEG,golf ball
2,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00006468.JPEG,golf ball
3,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007755.JPEG,golf ball
4,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00007947.JPEG,golf ball
5,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00008599.JPEG,golf ball
6,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00011983.JPEG,golf ball
7,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012356.JPEG,golf ball
8,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00012634.JPEG,golf ball
9,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00013633.JPEG,golf ball
10,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00016748.JPEG,golf ball
11,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00017247.JPEG,golf ball
12,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00019268.JPEG,golf ball
13,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00023215.JPEG,golf ball
14,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00023845.JPEG,golf ball
15,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00024405.JPEG,golf ball
16,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00026194.JPEG,golf ball
17,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00030938.JPEG,golf ball
18,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031486.JPEG,golf ball
19,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031744.JPEG,golf ball
20,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031897.JPEG,golf ball
21,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00031954.JPEG,golf ball
22,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035419.JPEG,golf ball
23,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035519.JPEG,golf ball
24,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00035918.JPEG,golf ball
25,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00036187.JPEG,golf ball
26,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00036755.JPEG,golf ball
27,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00037369.JPEG,golf ball
28,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038005.JPEG,golf ball
29,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038447.JPEG,golf ball
30,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00038768.JPEG,golf ball
31,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00040694.JPEG,golf ball
32,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00043745.JPEG,golf ball
33,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00044695.JPEG,golf ball
34,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00044936.JPEG,golf ball
35,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00046468.JPEG,golf ball
36,D:\data-version-control\data\raw\train\n03445777\ILSVRC2012_val_00048517.JPEG,golf ball
37,D:\data-version-control\data\raw\train\n03445777\n03445777_10008.JPEG,golf ball
38,D:\data-version-control\data\raw\train\n03445777\n03445777_10027.JPEG,golf ball
39,D:\data-version-control\data\raw\train\n03445777\n03445777_10033.JPEG,golf ball
40,D:\data-version-control\data\raw\train\n03445777\n03445777_10039.JPEG,golf ball
41,D:\data-version-control\data\raw\train\n03445777\n03445777_10084.JPEG,golf ball
42,D:\data-version-control\data\raw\train\n03445777\n03445777_10106.JPEG,golf ball
43,D:\data-version-control\data\raw\train\n03445777\n03445777_10117.JPEG,golf ball
44,D:\data-version-control\data\raw\train\n03445777\n03445777_10127.JPEG,golf ball
45,D:\data-version-control\data\raw\train\n03445777\n03445777_10129.JPEG,golf ball
46,D:\data-version-control\data\raw\train\n03445777\n03445777_10167.JPEG,golf ball
47,D:\data-version-control\data\raw\train\n03445777\n03445777_10216.JPEG,golf ball
48,D:\data-version-control\data\raw\train\n03445777\n03445777_10235.JPEG,golf ball
49,D:\data-version-control\data\raw\train\n03445777\n03445777_10254.JPEG,golf ball
50,D:\data-version-control\data\raw\train\n03445777\n03445777_10304.JPEG,golf ball
51,D:\data-version-control\data\raw\train\n03445777\n03445777_1036.JPEG,golf ball
52,D:\data-version-control\data\raw\train\n03445777\n03445777_10376.JPEG,golf ball
53,D:\data-version-control\data\raw\train\n03445777\n03445777_10413.JPEG,golf ball
54,D:\data-version-control\data\raw\train\n03445777\n03445777_10419.JPEG,golf ball
55,D:\data-version-control\data\raw\train\n03445777\n03445777_10425.JPEG,golf ball
56,D:\data-version-control\data\raw\train\n03445777\n03445777_10445.JPEG,golf ball
57,D:\data-version-control\data\raw\train\n03445777\n03445777_10455.JPEG,golf ball
58,D:\data-version-control\data\raw\train\n03445777\n03445777_10499.JPEG,golf ball
59,D:\data-version-control\data\raw\train\n03445777\n03445777_10514.JPEG,golf ball
60,D:\data-version-control\data\raw\train\n03445777\n03445777_10515.JPEG,golf ball
61,D:\data-version-control\data\raw\train\n03445777\n03445777_10523.JPEG,golf ball
62,D:\data-version-control\data\raw\train\n03445777\n03445777_10537.JPEG,golf ball
63,D:\data-version-control\data\raw\train\n03445777\n03445777_10547.JPEG,golf ball
64,D:\data-version-control\data\raw\train\n03445777\n03445777_10556.JPEG,golf ball
65,D:\data-version-control\data\raw\train\n03445777\n03445777_1057.JPEG,golf ball
66,D:\data-version-control\data\raw\train\n03445777\n03445777_10574.JPEG,golf ball
67,D:\data-version-control\data\raw\train\n03445777\n03445777_10583.JPEG,golf ball
68,D:\data-version-control\data\raw\train\n03445777\n03445777_10587.JPEG,golf ball
69,D:\data-version-control\data\raw\train\n03445777\n03445777_10615.JPEG,golf ball
70,D:\data-version-control\data\raw\train\n03445777\n03445777_10616.JPEG,golf ball
71,D:\data-version-control\data\raw\train\n03445777\n03445777_10633.JPEG,golf ball
72,D:\data-version-control\data\raw\train\n03445777\n03445777_10655.JPEG,golf ball
73,D:\data-version-control\data\raw\train\n03445777\n03445777_10657.JPEG,golf ball
74,D:\data-version-control\data\raw\train\n03445777\n03445777_1067.JPEG,golf ball
75,D:\data-version-control\data\raw\train\n03445777\n03445777_10676.JPEG,golf ball
76,D:\data-version-control\data\raw\train\n03445777\n03445777_10678.JPEG,golf ball
77,D:\data-version-control\data\raw\train\n03445777\n03445777_10689.JPEG,golf ball
78,D:\data-version-control\data\raw\train\n03445777\n03445777_10693.JPEG,golf ball
79,D:\data-version-control\data\raw\train\n03445777\n03445777_10698.JPEG,golf ball
80,D:\data-version-control\data\raw\train\n03445777\n03445777_10719.JPEG,golf ball
81,D:\data-version-control\data\raw\train\n03445777\n03445777_10723.JPEG,golf ball
82,D:\data-version-control\data\raw\train\n03445777\n03445777_10743.JPEG,golf ball
83,D:\data-version-control\data\raw\train\n03445777\n03445777_10759.JPEG,golf ball
84,D:\data-version-control\data\raw\train\n03445777\n03445777_10786.JPEG,golf ball
85,D:\data-version-control\data\raw\train\n03445777\n03445777_10788.JPEG,golf ball
86,D:\data-version-control\data\raw\train\n03445777\n03445777_1086.JPEG,golf ball
87,D:\data-version-control\data\raw\train\n03445777\n03445777_1107.JPEG,golf ball
88,D:\data-version-control\data\raw\train\n03445777\n03445777_11089.JPEG,golf ball
89,D:\data-version-control\data\raw\train\n03445777\n03445777_11144.JPEG,golf ball
90,D:\data-version-control\data\raw\train\n03445777\n03445777_11236.JPEG,golf ball
91,D:\data-version-control\data\raw\train\n03445777\n03445777_11296.JPEG,golf ball
92,D:\data-version-control\data\raw\train\n03445777\n03445777_11347.JPEG,golf ball
93,D:\data-version-control\data\raw\train\n03445777\n03445777_11389.JPEG,golf ball
94,D:\data-version-control\data\raw\train\n03445777\n03445777_11409.JPEG,golf ball
95,D:\data-version-control\data\raw\train\n03445777\n03445777_11483.JPEG,golf ball
96,D:\data-version-control\data\raw\train\n03445777\n03445777_1159.JPEG,golf ball
97,D:\data-version-control\data\raw\train\n03445777\n03445777_11635.JPEG,golf ball
98,D:\data-version-control\data\raw\train\n03445777\n03445777_11643.JPEG,golf ball
99,D:\data-version-control\data\raw\train\n03445777\n03445777_1169.JPEG,golf ball
100,D:\data-version-control\data\raw\train\n03445777\n03445777_11789.JPEG,golf ball
101,D:\data-version-control\data\raw\train\n03445777\n03445777_11967.JPEG,golf ball
102,D:\data-version-control\data\raw\train\n03445777\n03445777_11973.JPEG,golf ball
103,D:\data-version-control\data\raw\train\n03445777\n03445777_12013.JPEG,golf ball
104,D:\data-version-control\data\raw\train\n03445777\n03445777_1203.JPEG,golf ball
105,D:\data-version-control\data\raw\train\n03445777\n03445777_12069.JPEG,golf ball
106,D:\data-version-control\data\raw\train\n03445777\n03445777_12117.JPEG,golf ball
107,D:\data-version-control\data\raw\train\n03445777\n03445777_12143.JPEG,golf ball
108,D:\data-version-control\data\raw\train\n03445777\n03445777_1217.JPEG,golf ball
109,D:\data-version-control\data\raw\train\n03445777\n03445777_12197.JPEG,golf ball
110,D:\data-version-control\data\raw\train\n03445777\n03445777_12303.JPEG,golf ball
111,D:\data-version-control\data\raw\train\n03445777\n03445777_12325.JPEG,golf ball
112,D:\data-version-control\data\raw\train\n03445777\n03445777_12463.JPEG,golf ball
113,D:\data-version-control\data\raw\train\n03445777\n03445777_12489.JPEG,golf ball
114,D:\data-version-control\data\raw\train\n03445777\n03445777_12505.JPEG,golf ball
115,D:\data-version-control\data\raw\train\n03445777\n03445777_1256.JPEG,golf ball
116,D:\data-version-control\data\raw\train\n03445777\n03445777_12689.JPEG,golf ball
117,D:\data-version-control\data\raw\train\n03445777\n03445777_127.JPEG,golf ball
118,D:\data-version-control\data\raw\train\n03445777\n03445777_12724.JPEG,golf ball
119,D:\data-version-control\data\raw\train\n03445777\n03445777_12744.JPEG,golf ball
120,D:\data-version-control\data\raw\train\n03445777\n03445777_1275.JPEG,golf ball
121,D:\data-version-control\data\raw\train\n03445777\n03445777_12789.JPEG,golf ball
122,D:\data-version-control\data\raw\train\n03445777\n03445777_12796.JPEG,golf ball
123,D:\data-version-control\data\raw\train\n03445777\n03445777_1289.JPEG,golf ball
124,D:\data-version-control\data\raw\train\n03445777\n03445777_129.JPEG,golf ball
125,D:\data-version-control\data\raw\train\n03445777\n03445777_12947.JPEG,golf ball
126,D:\data-version-control\data\raw\train\n03445777\n03445777_1297.JPEG,golf ball
127,D:\data-version-control\data\raw\train\n03445777\n03445777_13067.JPEG,golf ball
128,D:\data-version-control\data\raw\train\n03445777\n03445777_13093.JPEG,golf ball
129,D:\data-version-control\data\raw\train\n03445777\n03445777_13099.JPEG,golf ball
130,D:\data-version-control\data\raw\train\n03445777\n03445777_13144.JPEG,golf ball
131,D:\data-version-control\data\raw\train\n03445777\n03445777_13186.JPEG,golf ball
132,D:\data-version-control\data\raw\train\n03445777\n03445777_13257.JPEG,golf ball
133,D:\data-version-control\data\raw\train\n03445777\n03445777_13307.JPEG,golf ball
134,D:\data-version-control\data\raw\train\n03445777\n03445777_1334.JPEG,golf ball
135,D:\data-version-control\data\raw\train\n03445777\n03445777_13366.JPEG,golf ball
136,D:\data-version-control\data\raw\train\n03445777\n03445777_1338.JPEG,golf ball
137,D:\data-version-control\data\raw\train\n03445777\n03445777_13414.JPEG,golf ball
138,D:\data-version-control\data\raw\train\n03445777\n03445777_1344.JPEG,golf ball
139,D:\data-version-control\data\raw\train\n03445777\n03445777_13455.JPEG,golf ball
140,D:\data-version-control\data\raw\train\n03445777\n03445777_13457.JPEG,golf ball
141,D:\data-version-control\data\raw\train\n03445777\n03445777_13538.JPEG,golf ball
142,D:\data-version-control\data\raw\train\n03445777\n03445777_13567.JPEG,golf ball
143,D:\data-version-control\data\raw\train\n03445777\n03445777_13575.JPEG,golf ball
144,D:\data-version-control\data\raw\train\n03445777\n03445777_13576.JPEG,golf ball
145,D:\data-version-control\data\raw\train\n03445777\n03445777_13579.JPEG,golf ball
146,D:\data-version-control\data\raw\train\n03445777\n03445777_136.JPEG,golf ball
147,D:\data-version-control\data\raw\train\n03445777\n03445777_13736.JPEG,golf ball
148,D:\data-version-control\data\raw\train\n03445777\n03445777_13748.JPEG,golf ball
149,D:\data-version-control\data\raw\train\n03445777\n03445777_13759.JPEG,golf ball
